Year,Establishment,State,Total Current Penalty,Industry,Description of Event
2018,"BEIZA BROTHERS HARVESTING, L.L.C.",GA,10348,Farm Labor Contractors and Crew Leaders,"At 7:00 p.m. on June 21, 2018, Employee #1 was picking tomatoes and placingthem in a bucket.The maximum temperature on the day of the incident was 97degrees Fahrenheit, as recorded by the National Weather Service. The employeewas overexerted and began to show symptoms of heat exhaustion. The employeepassed out, and was taken to a nearby medical facility where he died."
2018,"RIVERA AGRI, INC.",NE,9500,Farm Labor Contractors and Crew Leaders,"At 11:15 a.m. on July 13, 2018, an employee was working at a farm in thefields. During work, the employee became overheated and began to getdisoriented. The employee strayed away from the other workers, suffered a heatstroke, and died. When the supervisor realized that the employee was missing,a search party was organized. The employee was found dead the next morning.The autopsy report attributed the cause of death to heat stroke."
2017,"TYCOR FARMS, LLC",GA,0,Other Vegetable (except Potato) and Melon Farming,"At 6:00 p.m. on May 30, 2017, an employee was working in a filed pickingeggplants.  The employee was found unresponsive on the ground.  Cause of deathwas possible heat stoke (pending toxicology report). The employee's coretemperature was unknown."
2016,"MCCLURE PROPERTIES, LTD.",FL,10000,Other Vegetable (except Potato) and Melon Farming,"At 4:00 p.m. on May 17, 2016, a worker was picking tomatoes. Upon completionof the day's work, the worker was sitting in the company bus prior to beingtransported to his hometown. He complained of the heat, for which he was givenan ice pack and some fluids to cool his body temperature. His symptoms did notchange and he died soon after. It was suspected that the worker died from heatexhaustion."
2016,FRUIT HARVEST  INC.,CA,33740,Farm Labor Contractors and Crew Leaders,"At 3:47 a.m. on July 26, 2016, an employee  was part of a crew which wasremoving netting from nectarine trees. He was climbing a ladder to untie thecords of tree netting. He started feeling ill and informed a co-worker(buddy).  His coworker told him to rest under a tree. The employee startedconvulsing. He sustained a heat related illness on his second day of workingin 106 degree Fahrenheit temperatures. The employee was killed by heat stress."
2016,"BILL M. NEESE, BILL E. NEESE AND LUCILLE M. NEESE",CA,5560,Farm Management Services,"At approximately 10:00 a.m. on June 14, 2016, an employee was weeding andshoveling. While working in the field, he lost feeling in his right arm andleft leg. His jaw twisted to the side when he felt dizzy and confused. Hesuffered from an apparent heat stroke and died."
2016,WADE THOMAS BLAIR III,VA,0,Tobacco Farming,"At 4:30 p.m. on July 23, 2016, an employee was weeding in a tobacco field witha hoe.  The employee was overcome by heat, and died from hyperthermia."
2016,"HYDROGREEN, LLC",OH,0,"Soil Preparation, Planting, and Cultivating","At approximately 3:00 a.m. on August 7, 2016, Employee #1 was assisting in theliming, fertilizing, seeding, and installation of erosion control mats on acompleted section of a gas pipeline construction project. At approximately5:45 pm Employee #1 was taking garbage out of the back of a vehicle when hebecame dizzy. He sat down and immediately began slurring his words. Emergencyservices were called and responded in six minutes, but Employee #1 wasunresponsive. Employee #1 was hospitalized and later died of heat stress."
2015,BOYER LAND & CATTLE,ID,10500,All Other Miscellaneous Crop Farming,"At 3:00 on June 8, 2015, an employee was picking weeds out of a rye wheatfield.  The employee had worked most of the day in field, and was told toleave the field by the crew boss because he wasn't working fast/well enough.The employee walked over the hill to the road and he was found the followingday, approximately a quarter mile away from the main road, deceased.  Thepreliminary autopsy results indicated he died from heat stroke."
2015,"V. G. HARVESTING, INC.",FL,5300,Farm Labor Contractors and Crew Leaders,"At 2:30 p.m. on June 18, 2015, an employee was picking oranges when he beganto feel sick.  The employee went to drink water and was later foundunconscious from heat exhaustion."
2015,A & L CONTRACTING INC.,CA,4050,Citrus (except Orange) Groves,"At 10:30 a.m. on September 21, 2015, an employee was working at a citrusgrove. He was with his wife and a fruit picking crew. They were havestinglemons in a lemon orchard. The employee and his coworkers began to work atabout 10:30 to 11:00 a.m. All were laughing and taking pictures of each other.It was hot and very humid. When the employee had been working for less than anhour, he sat down. When the site's foreman asked him if he were okay, he saidhe was fine. Separately, he complained to another coworker that he had chestpain and tightness in his chest. Immediately he began to moan and becameunresponsive. He began vomiting and then became unconscious. The foremancalled emergency medical services immediately. The employee's son performedCPR until paramedics arrived. The employee regained consciousness asparamedics administered treatment and CPR. The employee was pronounced dead atthe scene at approximately 12:15 p.m. The temperature was above 29 to 32degrees Celsius (85 to 90 degrees Fahrenheit), but the employee and his entirecrew had been working for less than an hour, according to the foreman. Theexact cause of death had not been determined at the time of the investigation."
2015,CHAPALA BERRY FARMS INC.,CA,33750,Berry (except Strawberry) Farming,"At 3:15 p.m. on September 18, 2015, an employee was working as a laborer for aberry farm. He was pruning blackberries. The plants were covered with plasticcanopies. He had been working for approximately eight hours, when he becamedizzy and disoriented. He lost consciousness and fell down. Coworkers assistedhim with first aid and called emergency medical services. The paramedicsarrived approximately eight minutes after they received the call. The employeewas declared dead at approximately 3:32 p.m. It is thought that he hadsustained heat stroke, but that was not certain."
2013,"FOOTHILL PACKING, INC",CA,25750,Farm Labor Contractors and Crew Leaders,"On July 2, 2013, Employee #1, an agricultural laborer, was harvesting watermelons collapsed. The employee was returning to his vehicle at the end of a 6 hour work shift in temperatures exceeding one hundred degrees Fahrenheit, when he was observed by a coworker to stumble or stagger. The coworker assisted Employee #1 and alerted the supervisor the employee's condition. The supervisor and coworker transported Employee #1 to a cold storage facility, and later transporting him to Coalinga Community Medical Center, where the employee was pronounced dead with a body core temperature of 109.4 degrees Fahrenheit."
2012,TEMP HANDBODY FARM LABOR SERVICE,CA,0,Farm Labor Contractors and Crew Leaders,"At 1:45 p.m. on June 1, 2012, an employee was working for Temp Handbody Farm Labor Service, a contractor of farm labor. He was working in an orchard near the town of Huron, CA. He was removing the lower branches of pomegranate trees, when he lost consciousness due to heat exhaustion. He died. Temp Handbody Farm Labor Service notified the Cal/OSHA Fresno District office of the incident on at 4:40 p.m. on the same day."
2012,BOSS 4 PACKING LLC,AZ,550,Farm Labor Contractors and Crew Leaders,"At 12:00 noon on May 22, 2012, Employee #1, a farm laborer, was harvesting cantaloupes in the farm fields. He told the foreman that he was feeling ill, and Employee #1 sat down in the shade. When the site foreman returned a few minutes later, Employee #1 was unconscious and not breathing. Employee #1 was transported to the Yuma Regional Medical Center, where he was pronounced dead."
2012,"DOLE FRESH VEGETABLES, INC.",CA,11850,Other Vegetable (except Potato) and Melon Farming,"At approximately 2:52 p.m. on October 1, 2012, Employee #1, a 50-year-old male foreman with Dole Fresh Vegetables Inc., was coordinating the setup of harvesting equipment and supervised a crew of twenty-nine workers. The work began at 7:30 a.m. at a lettuce field in Soledad California. At approximately 2:40 p.m. Employee #1 was sitting on the steps of the harvester machine when he collapsed to the ground unconscious. A coworker pushed the emergency shut off button on the harvesting machine and ran to get the phone to call for help. Other coworkers ran to assist Employee #1. Employee # landed face down on the ground; the coworkers turned him around and placed wet handkerchiefs on his head and neck and removed his shoes and shirt. The coworkers used cardboard boxes to fan Employee #1 and put some water on his lips. One of the coworkers checked to see if Employee #1 had a pulse, but he could not feel it, he put his ear on his chest and he could not hear the heart beat. The area where Employee #1 fell down was shaded. Two foremen working in the same lettuce field with different crews came in a pickup truck within approximately two minutes of Employee #1's collapse. Employee #1 was carried to the pick-up truck and transported to the main access road to meet the ambulance. While waiting for the ambulance, a supervisor of the corporation together with the coworkers took turns in providing CPR and mouth to mouth resuscitation. The ambulance arrived at 3:01 p.m. and paramedics took over the care of Employee #1. The Fire Department and the Highway Patrol also arrived at the scene. Employee #1 was transported to Mee Memorial Hospital in King City, California and the Emergency Room Doctor at the hospital pronounced Employee #1 dead at 3:55 p.m. The opening conference was held with the Safety Administrator and the Labor Relations Manager of the corporation, who escorted the Division to the area where the incident occurred, photographs and measurements were taken. At the time of this investigation, the scene had been changed. According the NOAA-National Weather Service Forecast Office; the weather temperature on the day of the event was 92-degrees Fahrenheit at 2:00 p.m."
2012,DAVID E. CRUZ DBA DAVID CRUZ,NC,9500,Farm Labor Contractors and Crew Leaders,"On July 28, 2012, Employee #1, a 48-year-old migrant farm worker employed by David Cruz, died on the job from heat exhaustion."
2011,"C CLUNN CONSULTING, INC",CA,21085,Farm Labor Contractors and Crew Leaders," At approximately 2:15 p.m. on July 7, 2011, Employee #1, with C. Clunn Consulting, Inc., was operating a tractor and packing cantaloupes. He operated the tractor for approximately 3 hours and then took turns with a coworker packing boxes of cantaloupes and stacking full boxes on a harvesting machine. Near the end of his shift, Employee #1 collapsed while sitting on the harvesting machine. He was transported in an air-conditioned private vehicle to Palo Verde Hospital approximately 4.9 miles away. Later that day, Employee #1 was airlifted to Good Samaritan Hospital, where he died the next day of a heat-related illness."
2011,"U.S. DEPT OF INTERIOR, BUREAU OF LAND MANAGEMENT",TX,0,Support Activities for Forestry,"On July 7, 2011, Employee #1, a firefighter with the Bonneville Interagency Hotshot Crew (part of the Bureau of Land Management's fire suppression organization), was battling a wildland fire approximately five miles northwest of Mineral Wells, Texas. The crew had been at this fire site since July 5, 2011 and had been working approximately 12 hours each day. At the time of the incident, the outdoor temperature was approximately 105 degrees Fahrenheit. Employee #1 was """"cold trailing"""", which consists of walking along checking for areas of fire that could be extinguished using hand tools or water carried in portable water bladders. At approximately 3:55 p.m., Employee #1 suddenly collapsed. The on-site EMTs were notified immediately and began CPR. A medical emergency evacuation helicopter with flight nurses aboard and an ambulance were dispatched to the site. Both were at the site before Employee #1 was carried down the mountain to the transport location. The nurses were ferried by truck to meet Employee #1 so that treatment could begin as quickly as possible. They reached Employee #1 and began treatment within about 35 minutes of his initial collapse. Employee #1 was transported to the local hospital by ambulance, but died within about 3 hours. Initial reports indicated that Employee #1's core temperature was approximately 108 degrees. He may have died from heat exhaustion."
2011,GEORGE MASIH PAGANY DBA GEORGE MASIH PAGANY FARM,CA,560,Farm Labor Contractors and Crew Leaders,"At approximately 9:38 p.m. on September 23, 2011, Employee #1 was working as a field laborer for a farm labor contractor at the Pur Hiran pistachio farm in West Sacramento, CA. He was required to walk behind a harvesting machine and help pick out excess leaves and debris from bins on the truck. He was observed by his coworkers to be dizzy or to be experiencing some difficulty breathing. He was transported to the shade structure at the site, and emergency medical services were contacted. He was transported to UC Davis Medical Center, where he later died. Employee #1 reportedly died from heart-related issues or heat stroke. The Cal/OSHA Sacramento District Office was informed of this incident at approximately 2:00 a.m. on September 24, 2011, by a telephone report from the Sacramento coroner's office."
2011,JUDITH J. MARTINEZ DBA J. MARTINEZ FLC,CA,0,Farm Labor Contractors and Crew Leaders,"On March 12, 2011, Employee #1 was harvesting asparagus crops. While working he collapsed. Emergency services were contacted and CPR was performed until the medical response personnel arrived. Employee #1 was determined dead as a result of an unspecified injury/illness."
2011,MAUI HARVESTING,CA,0,Farm Labor Contractors and Crew Leaders,"On October 17, 2011, Employee #1 was working for Maui Harvesting, a farm labor contractor in El Centro, CA. She had been thinning lettuce in a field near the intersection of Highway 98 and South Clark Street in Calexico, CA. Employee #1 was experienced in performing the job. In addition, she was acclimated to the temperature at the jobsite on that day, which was approximately 89 to 91 degrees Fahrenheit (32 to 33 degrees Celsius) at 11:00 a.m. At approximately 11:30 a.m., Employee #1 stated that she """"felt bad"""" and took a break from work. She declined medical assistance at that time. After a lunch break from 11:45 a.m. to 12:30 p.m., the other workers at the site resumed work. Employee #1 still was not feeling better after the lunch break. She lost consciousness at approximately 1:00 p.m. Her employer called an ambulance, which took Employee #1 to El Centro Regional Medical Center. She died there. She did not exhibit or complain of any symptoms of heat illness while she was working. The coroner's report indicates that she died due to atherosclerotic cardiovascular disease. The death was categorized as natural by the medical examiner. At approximately 4:30 p.m. on October 17, 2011, the Division received a call from a representative of the employer's insurance agent to notify the Division of the fatality. The notification by the representative was in compliance with the eight-hour reporting time frame required by T8CCR 342(a)."
2011,NASH JOHNSON & SONS' FARMS INC,NC,7680,Turkey Production,"On July 13, 2011, Employee #1 was picking eggs in a turkey house. A coworker noticed that he was confused and appeared light-headed. Employee #1 was transported to a local hospital, where he died."
2011,ANGELICO CRUZ,KY,4000,Tobacco Farming,"On September 3, 2011, Employee #1 was loading tobacco onto wagons. The temperature that day was 95 degrees Fahrenheit. He reportedly vomited and went missing around 4:00 p.m. Two hours later, coworkers searched unsuccessfully for Employee #1. A missing person's report was filed on at 10:30 p.m. on September 5, 2011. Employee #1's body was found at 9:50 a.m. the next day in a fence row along a highway. There were no signs of foul play according to the coroner. A beer was found in Employee #1's pocket. Other reports from coworkers and witnesses indicated Employee #1 was seen drinking beer and had been sick from green tobacco poisoning."
2010,"BOYER NURSERY & ORCHARDS, INCORPORATED",PA,0,Other Noncitrus Fruit Farming,"On July 8, 2010, Employee #1, of Boyer Nursery and Orchards, Incorporated, was pulling weeds in a fruit tree nursery field and was exposed to hot and humid conditions. He died from hyperthermia."
2010,"RANDY CLANTON FARMS, INC.",AR,9000,Other Vegetable (except Potato) and Melon Farming,"On July 15, 2010, an employee, a migrant farm worker, was working in the tomato packing warehouse. He had been working for approximately three months in a tomato packing warehouse. After the harvest ended, and most of the migrant worker force left, the employee volunteered to stay a few more weeks and remove the stakes and strings from 300 - 400 acres of tomato fields. The employee worked in the fields for four days cutting and removing strings. He finished a field and went to a shaded area to take a break. He was later found unconscious in the shaded area. It was unknown how long he was unconscious. The employee was transported by coworkers to a local hospital, where he arrived with a temperature of 108 degrees. The decision was then made to airlift the employee to a major hospital, where he died the following day."
2009,GIUMARRA VINEYARDS,CA,0,Grape Vineyards,"Employee #1 was packing table grapes at a typical workstation with a shade structure overhead. The start of shift was at 6:30 a.m. and had a 15-minute break at approximately 9:30 a.m. Employee #1 was discovered by a coworker at approximately 10:30 a.m. Employee #1 had collapsed and was unresponsive. Employee #1 was taken to the hospital by emergency services. Employee #1 suffered multiple cardiac arrests and secondary complications in the hospital, and it became apparent there was no chance for survival. On July 22, 2009, the family requested all efforts and life support be discontinued. Employee #1 died."
2009,"DUNCAN, RICHARD",VA,0,Tobacco Farming,"At approximately 6:00 a.m. on August 11, 2009, Employee #1 started working in a tobacco field. Employee #1 was pruning tobacco leaves by hand, and between 10:00 a.m. through 12:30 p.m., he collapsed, while suddenly trying to seek shade. Someone immediately took Employee #1 by van to a local fire department less than one quarter mile away. An onsite EMT briefly treated Employee #1, before putting him in an ambulance and taking him to a local hospital. Employee #1 died en route to the hospital. Investigators determined that Employee #1 had taken breaks and was drinking water. The temperature at that time of his collapse was approximately 83 degrees to 85 degrees (units assumed to be Fahrenheit)."
2009,RODOLFO DELGADO,AZ,0,Farm Labor Contractors and Crew Leaders,Employee #1 succumbed to heat exhaustion (hyperthermia) after working in the field all day in over 100-degree heat. The narrative of this injury was not specified in the original report.
2008,MARIA DE LOS ANGELES COLUNGA DBA MERCED FARM LABOR,CA,262700,Farm Labor Contractors and Crew Leaders,"On May 14, 2008, Employee #1 died due to an unspecified heat related illness."
2008,MANUEL TORRES DBA TORRES LABOR CONTRACTING,CA,420,Farm Labor Contractors and Crew Leaders,"On August 2, 2008, Employee #1, a farm laborer, died allegedly of heat-related illness. The fatality was initially reported by an unnamed United Farm Worker to a Sacramento Bee reporter. The reporter made an inquiry to the Labor and Workforce Development Agency, who contacted the Division of Occupational Safety and Health (DOSH) Headquarters. The San Bernardino District Office became aware of this fatality on August 6, 2008. The incident was not reported by the employer to the San Bernardino District Office, DOSH or to any other offices because at the time of her death, the employee did not work for the employer. The employer had no knowledge of her death, nor of her hospitalization while she worked there. The farm was not aware that the employee felt sick due to work-related illness while she worked there."
2008,SUN VALLEY PACKING,CA,15435,Other Noncitrus Fruit Farming,"On July 10, 2008, Employee #1 started working at 6:00 a.m. and was harvesting nectarines at in Kingsburg, California. There was elevated ambient temperature that day (not specified). At 10:00 a.m., Employee complained that he did not feel well and left work. At 5:00 p.m. on June 10, 2008, Employee #1 died. It was not clear whether Employee #1 died from a heart attack or heat exhaustion."
2008,ESPARZA ENTERPRISES,CA,3750,Farm Labor Contractors and Crew Leaders,"At approximately 3:30 p.m. on July 10, 2008, Employee #1 was loading boxes of grapes to a truck, to be delivered to a cold storage. Employee #1 sustained heat exhaustion and was taken by ambulance to San Joaquin Community Hospital in Bakersfield, California. He was treated for a heat stroke with a core body temperature of 108 degrees. He died at 3:25 p.m. on July 31, 2008 from the heat stroke."
2008,SUNVIEW VINEYARDS OF CALIFORNIA INC,CA,0,Grape Vineyards,"On July 9, 2008, Employee #1, a fruit loader, manually loaded a truck with grape boxes. The boxes weighed from 20.5 lb to 23.5 lb each. Employee #1 loaded 2,128 boxes of grapes with a coworker. The temperature that day was 107 degrees Fahrenheit. Employee #1 had access to shade and water. Employee #1 completed loading grape boxes for the day and was a passenger on the truck transporting the grapes to cold storage. The coworker reported that Employee #1 was sleeping in the truck. At approximately 2:45 p.m., he started breathing with difficulty. The coworker could not wake Employee #1. The coworker called for help and tried to cool Employee #1. Emergency responders arrived, but they were unable to revive Employee #1, who was later pronounced dead at the Delano Regional Medical Center."
2008,"DUBOIS HARVESTING, INC.",FL,6300,Other Vegetable (except Potato) and Melon Farming,"At approximately 4:45 p.m. on August 27, 2008, an employee was working as a farm laborer. He had just finished drinking water in the bus that was parked at the farm field. The crew leader had instructed the employee to go back to the field and continue working. The employee then proceeded to run down the field and did not listen to the crew leader's request. The crew leader then called the field supervisor to respond to the employee's actions to find out whether the employee walked off the job or continued to work on the field. The field supervisor and the crew leader then got inside the pick-up truck and proceeded to look for the employee. Within approximately twenty minutes, both of them noticed the employee on the ground laying on his back and foaming through the mouth. They lifted the employee from the ground and placed him inside the pick-up truck with the air-conditioning turned on. The employee's shirt was unbuttoned and water was being applied over the employee's body. The employee was taken back to the bus, so more water can be placed over his body. The field supervisor then placed the employee in the pick-up truck and drove to Boynton Beach Blvd and Acne Dairy Road to wait for the emergency response crew to arrive. When the ambulance arrived, the employee was still breathing and was taken to J.F.K. Hospital. According to the West Palm Examiner's office, the employee died of hyperthermia."
2007,YNT HARVESTING,CA,7310,Fruit and Tree Nut Combination Farming,"At approximately 4:00 p.m. on May 9, 2007, Employee #1 was harvesting peaches from a peach tree. Employee #1 stopped working before the end of the shift and sat down under a peach tree. Employee #1 did not want to work any longer and the crew boss transported and left Employee #1 at a packing shed. Shortly after the crew boss left Employee #1, Employee #1 began to shake. Several coworkers helped Employee #1 before he collapsed. Emergency services were summoned, but Employee #1 died before the ambulance arrived. Employee #1 was transported to the morgue. The Coroner's report identified the cause of death as atherosclerosis, heart disease and hepatic disease."
2006,STAMOULES PRODUCE,CA,17140,All Other Miscellaneous Crop Farming,"On July 25, 2006, a seasonal farm laborer was working for Stamoules Produce in Mendota, California. He worked in a cornfield, and placed boxes of harvested, packed corn onto a trailer. The employee felt ill, sat down on the trailer, and looked confused. The employee sipped some water and then collapsed. He was airlifted to a nearby hospital, and later died of hyperthermia."
2006,C & K RANCHES,CA,3155,Grape Vineyards,"On July 26, 2006, Employee #1, a farm worker employed by a raisin grower/packer, was plowing a grape vineyard. The temperature that day was recorded at 111 degrees Fahrenheit. He was found by a coworker, lying on his back in the company car. The coworker called 911 and the owner. The Coroners' department transported Employee #1 to the morgue, where it was determined that he died from hyperthermia."
2006,FLOYD A. EVANS DBA EVANS FARMS INC.,NC,0,Tobacco Farming,"On August 1, 2006, Employee #1 was working in a tobacco field and stated that he was not feeling well. He was taken to a shelter and left unattended. After several hours, he was found unresponsive. He had died from suspected heat stroke."
2006,OLAN DUNN FARMS,NC,0,Tobacco Farming,"On August 3, 2006, Employee #1 was working at a tobacco farm, when he stated to coworkers that he was not feeling well because of the heat. His coworkers were escorting him to a shelter, when they placed a call to emergency medical services. Emergency medical technicians arrived within approximately six minutes and attended to Employee #1, who was still responsive at this time. He was transported to a local hospital, where he was pronounced dead approximately one-and-a-half hours later."
2006,REED BROTHERS FARM,NJ,0,Other Vegetable (except Potato) and Melon Farming,"On August 3, 2006, Employee #1 was a farm worker. He died from a heat related illness."
2006,"W.C.T., INC.",VA,585,Logging,"At approximately 4:00 p.m. on August 8, 2006, Employee #1 was working for a logging firm. While engaged in a tree limbing operation on a plot of land that had been logged over, he became overheated and passed out. Attempts to revive him failed, and he died later at the hospital. Temperatures on August 8, 2006, were about 98 degrees Fahrenheit, with a heat index estimated to be 105 degrees Fahrenheit or more."
2006,GEORGE PERRY & SONS,CA,3150,Other Vegetable (except Potato) and Melon Farming,"On July 26, 2006, Employee #1 was harvesting watermelons. This was his third day on the job. Into his seventh hour of work, he felt faint and was acting incoherent. Employee #1 was taken by private vehicle to the hospital, where he died two days later."
2005,R&R LABOR SERVICE,CA,11760,Farm Labor Contractors and Crew Leaders,"At approximately 4:30 p.m. on July 21, 2005, an employee, a laborer, was sorting tomatoes and vine debris from the conveyor on the harvester machine. A coworker, while driving the tractor trailer that collected tomatoes from the conveyor of the harvester machine, observed that the employee was holding on to the railing of the harvester machine. When the harvester machine run was completed, the coworker went over to the employee, who was on the railing, and observed that the employee's eyes were closed, and his body was trembling and shaking. The employee was taken down to the mechanic's air conditioned truck cab by two other coworkers, where his condition did not improve. An ambulance was called, and paramedics evaluated and stabilized the employee. The employee was transported by helicopter to the Kern Medical Center. The employee was released from Kern Medical Hospital on July 25, 2005. In the employee's residential home on July 26, 2005 his uncle observed that the employee became seriously ill and the uncle called the paramedics. The employee was then taken by ambulance to Delano Hospital where he fell into a coma and was pronounced dead on July 31, 2005."
2005,DAVID CASTILLO FLC,CA,23625,Other Vegetable (except Potato) and Melon Farming,"On July 13, 2005, Employee #1 was manually harvesting bell peppers from an open field and placing them onto a conveyer belt system. He felt ill and walked away from the field before the end of his shift. A coworker driving by saw Employee #1 sitting at the roadside crouched down and physically shaking. He stopped to help, and he moved Employee #1 nearer to an area with more shade and the portable toilets. Then, he contacted the foreman. The foreman contacted another coworker, who then called for emergency medical services. An ambulance arrived to transport Employee #1, but he died on the way to the hospital. At the time of the incident, the temperature was above 104 degrees F. It is not specified whether this is the air temperature or not. The coroner determined that Employee #1 died from hyperthermia."
2005,S & H FARM LABOR,CA,8100,Other Vegetable (except Potato) and Melon Farming,"On July 15, 2005, Employee #1 was found dead in a cantaloupe field that was being harvested. Employee #1 was manually harvesting melons from an open field. The crew was unaware that Employee #1 was missing when they left at the end of the shift. A member of crew Number 3 found the body and contacted the supervisor. The Corner office had not determined the cause of death. However, death due to possible heat stroke has not been eliminated."
2005,ZEPEDA'S FARM LABOR SERVICE,CA,250,Farm Labor Contractors and Crew Leaders,"On August 17, 2005, Employee #1, on his second day of harvesting lettuce seeds in Huron, CA, worked for eight hours in temperatures that reached 100 degrees Fahrenheit (F), with 15 percent relative humidity. Employee #1 was required to wear a long sleeve shirt, gloves, hat and dust mask. Water was available and frequent water breaks were encouraged by the employer. Harvesting is performed by a crew, a tractor operator, two cutters and four beaters. Cutters cut the plant and throw it into a metal gondola, where the beaters thrash the plant and discard it. Seeds weighing up to 500,000 pounds are transferred to a canvas and raked to separate debris. Prior to working with the seed harvesting, Employee #1 was weeding cotton in temperatures reaching 110 degrees F and was presumed to be well acclimated to the high temperatures. Thirty minutes after work, Employee #1 exhibited hallucinations, vomiting, and lost consciousness. He was transported by ambulance to Hanford Community Hospital, where he was pronounced dead with a body temperature of 108.5 degrees F."
